able transportar
lukewarm tibio
desirous cariño
port dragón
athirst sed
hungry apetito
devouring consumidor
dust capa
shine iluminación
slime ladrillo
must tapar
contemptible física
praising salto
flattering breve
distressed jurado
causeway avenida
hen templo
paper papel
male enterrar
offspring arte
suckling mama
giant guerrero
horn sonar
furrow toro
cockle trigo
knit actitud
wrap manta
condemning injusto
remaining dejar
chain abismo
expected porvenir
earth único
mate pareja
pair par
deferred árbol
shroud era
practised continuo
anchor velo
understood asesinar
unspeakable paraíso
shovel salado
plucked telar
grope tambalear
pursue desastre
outer exterior
in cercanía
inner fachada
shear macho
tail vara
engrave grabar
private interpretación
overlay cubierta
rod cima
eyed sospecha
sew coser
inter sueño
bread viaje
tile arcilla
faithless dedo
uncover desnudar
infallible visible
acquainted sufrimiento
shut fosa
swift rápido
winged especie
bond varón
thread cordón
laver capacidad
garner juntar
nest vuelo
pearl transparente
concluded escritura
ended diablo
towel toalla
maimed animal
cane caña
flinty miel
gentle ser
neck gesto
bed lecho
doubled cuadrado
tongue idioma
fetch situación
after estrecho
channel corriente
alien extraño
home casa
roe ligero
household familia
bore oreja
former rollo
castaway obedecer
poor insignificante
sieve acabar
sift pedido
perfumed mercader
stinking frasco
mingle mezclar
entangle palabra
border frontera
rid desaparecer
imprisoned dije
slave esclavo
snare pájaro
mouldy seco
rotten cobre
decayed plan
cured hija
salted sabor
amiable músico
enemy pisar
lay sitio
bountiful generoso
unfruitful participación
overflowing plenitud
emptied vaciar
sling atar
ram despedir
frost sustancia
prepared salir
wedge peso
sit asiento
seat plaza
beggarly mejor
base soporte
stolen nostalgia
redeeming redención
abominable diferencia
forest multitud
mischievous locura
wicked fatal
heinous castigo
shred falda
pasture pastizal
churlish brusco
sudden repentino
core error
unthankful dinero
joyful feliz
hardened territorio
cruel convertir
mocker licor
hearted material
image estatua
puffed aplicado
accomplish cumplir
effect cólera
heavenly patria
kite buitre
assemble reunir
burdensome listo
hill ladera
rase día
ministering seguido
web despertar
eminent edificar
lofty alto
lifted curar
exalted elevado
higher apuesto
copy copia
vein mina
mountain montón
author desorden
deceitful explotación
honourable capricho
noble glorioso
upright derecho
turtle canción
farm negocio
till recibir
print difunto
fervent exactitud
fuel quemar
summer sensato
disquiet reposar
winter huida
dragon monstruo
moloch estrella
grudge rencor
hate rechazo
abhor escupir
brutish madera
fear miedo
terrify desprecio
haunt favor
hasty severo
vex rival
offend pecado
plague peste
chief fundamento
repent arrepentirse
mourn reír
sorrow resentimiento
frustrate ley
abase humillar
evident evidente
dirt quieto
disposed aparecer
minded playa
pity compasión
informed iluminar
hip cadera
inhabited pata
inherited bendición
strangled guarida
wounded bestia
guiltless condenado
asp pecho
philistine desafío
vagabond invocar
causeless estorbo
fashioned mirada
coast invadir
bored abertura
scorpion huevo
wearisome heredar
trespassing infidelidad
renewing renovación
troop mesa
bereaved caja
outrun discípulo
beacon amenaza
known soñar
notable famoso
interpreted vuelta
sea izquierdo
ship largar
dodo librar
pigeon cordero
dove pico
greater arrebatar
lawful expresar
descend habitar
unleavened sacrificar
weather dorado
plummet nivel
ly trágico
presumed arca
traded estaño
shadow oscuridad
attain lograr
unreasonable razonable
cob ganado
transgress maldad
durable ganancia
eternal eterno
flock cocina
pour muchedumbre
swarm nube
rescued tropa
yelled desolación
rumbling debilidad
hateful potente
detestable contaminar
odious sueldo
worshipped ritual
beloved elegir
despised contrario
hated adversario
stock lección
directed consejero
horseback jinete
married casar
flee escapar
united asamblea
unmarried agradar
divorced válido
unripe olivo
highest estabilidad
meaning significado
hollow hueco
musical canto
sense sentido
melted hedor
unmerciful misericordia
vehement amor
stink asco
cense fecha
behold portador
crashing barrio
seem religión
moon solemnidad
conceal ocultar
cloak mejilla
candle encender
descry reconocimiento
espy reconocer
overshadow sombra
righteous logro
many suspender
few retorno
ding bondad
toll impuesto
moved contento
muzzle salario
discern apreciar
fleeing accidente
own íntimo
possess cercano
stopped reconstrucción
world tema
born inscribir
stork nido
charming experto
crowning nobleza
pleasant delicioso
lordly taza
northern oriental
redeem adopción
heard pena
be quedar
observed honor
obedient joya
usurp ejercer
disobedient escándalo
profit beneficio
compelled griego
indebted tentación
benefit bien
unsavoury sal
lot residencia
scornful silla
contrite aprobación
belong bueno
planted plantar
ancient anuncio
bereave sucesor
inherit tratar
rob privar
hoar rocío
borrow vecina
lend mérito
furnish fortuna
opened ligadura
swallowed referir
greyhound gallo
cheek manto
disorderly ajeno
setter este
laid parcela
queen capital
daubed asfalto
leopard lobo
leaved derecha
covert amparo
disguised realidad
paid huir
oppress oprimir
inexcusable excusa
tend parar
captain cuarto
belly amargar
sometime mente
then detener
calved parir
peaceable arrasar
warring combate
faultless defecto
undefiled matrimonio
permitted defensa
perplexed perplejo
amerce multa
ain costado
warning advertir
fleshly testimonio
bee mosca
soldier militar
religious religioso
conceived seno
locust soplar
meddle huella
encouraged disponer
displeased confrontación
sick cumplido
burnished bronce
unwise torpe
heed vientre
impotent movimiento
almighty herir
reigning llorar
cropped punta
tilled contraste
persecute refugiado
penny moneda
tributary viuda
only techo
cost precio
deprived olvidar
vain visita
lack reprochar
expert conocedor
unprofitable útil
deserve pesar
uncomely flor
pertain persona
fortified ángulo
shelter torre
haughty altivo
respected mirar
proved trueno
excel dirigir
concern preciso
punished rescatar
reproved evidencia
unpunished impune
polluted árabe
body incremento
crackling risa
may observar
might encontrar
ought cubrir
should llenar
reasoning razonamiento
thinking pago
shall implacable
would comparable
could continuar
invented lanzar
horse conductor
avenging derramar
colt esquina
requited haya
rain lluvioso
oiled torta
mule mula
converted cerrado
ox ilegal
cattle temprano
kine nuevo
heifer enterar
kin tío
kindred exponer
concerning saque
regarding servicio
brother hermano
fellow compañero
sister hermana
sheep consumo
goat individuo
chamois cabra
withdrawn distancia
wavering ola
mocking culpable
roebuck matar
camel aguja
dromedary valle
fretted recaer
renewed águila
ai revista
knee rodilla
unrighteous resaltar
man bajar
squared frente
holy distribución
hallowed central
reverenced homenaje
reverend temible
worldly prudente
differing profecía
diverse mezcla
divers preparado
said norma
self juzgado
nuts huerto
hidden secreto
lurking información
promised rito
locked verano
inferior inferior
sent frecuencia
chosen contar
shaven consagración
shod seda
barefoot prodigio
seeing demorar
parted regar
unfeigned tolerancia
hypocritical indignación
i acertado
two chico
seven irrumpir
eight tapiz
ten proceso
eleven ruta
twelve terraza
seventeen reinar
nineteen perseguir
twenty constituir
thirty comenzar
forty nuca
sixty ciento
threescore innumerable
eighty engendrar
fourscore costoso
ninety equivalente
hundred guardia
d localidad
thousand conjunto
seventh cosechar
ninth solemne
tenth roble
fourteenth decimocuarto
sixteenth octavo
eighteenth alcalde
fortieth undécimo
eightieth año
sleeper capitán
written revés
shambles preguntar
whatsoever conveniente
both árbitro
every aliado
forum oír
spoken manzana
uttered explicar
sung aprender
statute legal
altar labrar
quaking temblor
antiquity antigüedad
armoury arsenal
arrow nocturno
disappointed consulta
failed socorro
axe sierra
tops colina
excellent sereno
backbone sacrificio
founded inundación
diamond tabla
amazed pánico
astonished horror
barrel botella
turned girar
swept antiguo
so imitar
castor isla
bedchamber dormitorio
tamed humano
bell granada
bishop obispado
blade hombro
curdled queso
musing suspirar
boards meter
bolster almohada
called prisionero
bones juvenil
volume escrito
wearied vitalidad
refreshed séptimo
booth araña
uppermost rama
brake arma
brass lado
trimmed bigote
breeches sudar
buffeted notable
disquieted espera
brim circular
lip labio
bucket balanza
doubting dudar
cottage cabaña
agreed exacto
upward cuesta
downward metal
caldron humo
candlestick alumbrar
worth reducir
carriage equipaje
casement ventana
endangered leña
walled plazo
craved ilustre
sought interrogar
warmed patio
ward jaula
diminishing restauración
chaff limpiar
fading fruta
sanctuary tratado
sprinkled respectivo
chest oficial
consenting persecución
seen premio
wood cantidad
apparel judío
clothes judía
arms tensar
honoured miembro
sheath eliminar
comforter alejado
goods reparto
compass horizonte
conduit estanque
girdle uniforme
stays respaldo
ointment puro
diadem justicia
crystal impresionante
dial retroceder
napkin pañuelo
ditch guiar
door muro
threshold pared
leader comandante
dulcimer música
dwelling vivienda
earring dócil
organ duelo
remainder parte
remnant destrucción
fashions corredor
tubal príncipe
recorder cronista
piece caer
story historia
sheepcote prado
footstool cubierto
fountain turbio
frogs rogar
furnace postre
furniture calidad
gaddi tribu
gat cumbre
gourd gusano
governor gobierno
tomb vigilancia
orchard exquisito
gutter ataque
habergeon dardo
haft hoja
harp tono
haven incómodo
heart buen
highway vía
hole agujero
milch corral
hunter cazador
ice hielo
god perfección
wheaten aceite
woollen lana
chains infierno
javelin clavar
jaws vigor
jeroboam designar
cursing cómplice
held palpar
pursued caballería
remembered materno
king muestra
ladder escalera
mower regazo
parlour llave
mainsail vela
manger prisa
mart mercado
mast desplegar
maul falso
merchandise protector
ministry capacitar
mitre lámina
mouth acechar
mules anillo
munitions fortaleza
impediment sordo
balm virgen
oracle poner
palace palacio
pan plancha
pavement mármol
pillow doméstico
porch construcción
presbytery imposición
rampart concentración
wall dedicación
ranch ardiente
ruler dirigente
scaffold plataforma
scum pedazo
seam soldado
sickle maduro
socket talento
spoiler llanura
stairs distrito
steps vestíbulo
steel romper
stole compartir
sword partir
synagogue ayudante
tabor encina
tapestry tendido
tare demonio
tent unir
timbrel lira
trench caber
trump abrir
vineyard placentero
strake ceñir
ways directo
willow brote
fruit producto
spirit tranquilo
nature naturaleza
tenderness asentar
passion vivo
temper vegetal
sharpness dureza
bitterness queja
readiness verificar
gravity seriedad
countenance brillar
comeliness atractivo
affinity traspasar
plainness esperanza
blemish lesión
clearness pavimento
faintness ruido
boldness rostro
rigour crueldad
magnificence diosa
variableness don
stability depósito
immutability convincente
unity unidad
equality igualdad
certainty certeza
slackness paciente
sweetness perfume
truth sumisión
pomp soledad
obscurity hambriento
righteousness recuperación
compassion piedad
bounty reina
liberality generosidad
greediness sensibilidad
malice fiesta
virtue divino
conscience aceptable
honour facultad
purity juventud
wantonness envidia
courage responsabilidad
valour administración
hypocrisy practicar
integrity integridad
incorruption corrupción
honesty dignidad
faithfulness extender
humbleness paciencia
humility enseñanza
manners engañar
badness feo
gentleness ternura
thickness lirio
blackness cobertura
ivory fino
wine héroe
greenness tallo
navy flota
darkness penumbra
odour olor
quietness pacífico
spicery comer
fatness alimento
height elevación
stature altura
sinew encaje
fury hostil
degree condición
depth profundidad
r aceptar
largeness arena
sufficiency miseria
abundance trabajador
wealth riqueza
dearth ocurrir
overplus venta
fewness disminución
bounds raza
hour yeso
breadth marco
highness triunfo
advantage ventaja
unprofitableness anterior
forwardness eficacia
moment momento
jurisdiction jurisdicción
reins penetrar
ability valoración
flesh físico
clay fundir
region todo
scab costra
marrow júbilo
liver hígado
juice jugo
waters oscurecer
spittle loco
dura anchura
breast investidura
navel medicina
backside posterior
buttocks trasero
fist puño
tarsus ciudadano
nostrils confiar
imagination tendencia
science ciencia
workmanship habilidad
sleight doctrina
speech lenguaje
eyesight limpieza
tradition tradición
forgetfulness olvido
pestilence epidemia
assurance constante
confidence fiel
beholding orden
noise despliegue
believing inefable
assay reprimir
letters sistema
imagery cámara
thought temor
testament letra
acquaintance amigo
verity apóstol
grief amargura
teacher maestra
ghost sagrado
policy sorpresa
fare millar
meat alegría
